Name | Description | Default Value | Flags
citadel_unit_status_minor_pip_per_major_pip |  | 5 | devonly, cl
citadel_unit_status_old_dpi |  | 4 | devonly, cl
citadel_unit_status_old_draw_local |  | false | devonly, cl
citadel_unit_status_old_fadeout_dist | How far out of the players effective gun range do we show the health bar | 200 | devonly, cl
citadel_unit_status_old_health_pips_per_row |  | 10 | devonly, cl
citadel_unit_status_old_height |  | 80 | devonly, cl
citadel_unit_status_old_hide_names |  | false | cl, cheat, release
citadel_unit_status_old_opaque_dist_sq |  | 50000 | devonly, cl
citadel_unit_status_old_show_stats |  | false | devonly, cl
citadel_unit_status_old_transparent_dist_sq |  | 0 | devonly, cl
citadel_unit_status_old_update_rate | How many times per second the unit status can update (0 = every frame). | 30 | devonly, cl
citadel_unit_status_old_width |  | 100 | devonly, cl
citadel_unit_status_opaque_dist_sq |  | 50000 | devonly, cl
citadel_unit_status_recent_damage_time |  | 0.25 | devonly, cl
citadel_unit_status_show_stats |  | false | devonly, cl
citadel_unit_status_single_bar_mode | Allow only a single health bar, no stacking. | false | cl, cheat
citadel_unit_status_stamina_consume_linger |  | 3 | devonly, cl
citadel_unit_status_transparent_dist_sq |  | 0 | devonly, cl
citadel_unit_status_use_new |  | false | cl, release
citadel_unit_status_use_v2 |  | false | devonly, cl, cheat
citadel_unit_status_use_v2_for_nonplayers |  | false | devonly, cl, cheat
citadel_unit_status_v2_height |  | 210 | devonly, cl
citadel_unit_status_v2_width |  | 200 | devonly, cl
citadel_unit_status_width |  | 200 | devonly, cl
citadel_unit_target_button_hint_mode |  | 0 | devonly, cl
citadel_use_contextual_ping_wheel_option |  | true | cl, a
citadel_use_csgo_style_recoil_follow_crosshair |  | false | devonly, cl, rep
citadel_use_new_minimap | Turns on/off the new minimap | true | devonly, cl
citadel_use_shop_component_groupings | Use new component Grouping | false | cl, a
citadel_use_spectator_team_colors | Forces HUD and game to draw team colors as if you are a spectator | false | devonly, cl
citadel_use_ui_keybindings | Use UI key bindings otherwise use engine keybindings. | true | cl, a, release
citadel_use_vertical_healthbars |  | false | devonly, cl
citadel_video_preset | Rendering performance level. | 3 | cl, a
citadel_viewed_book_prototype | Track if they have opened up the book prototype or not yet | false | cl, a, release
citadel_visibility_queue_rate |  | 2 | devonly, cl
citadel_weapon_spread_debug |  | false | devonly, cl
citadel_zipline_arrow_boost_brightness | Changes the zipline arrow boost brightness | 1 | devonly, cl
citadel_zipline_arrow_scale | Changes the zipline arrow scale | 1 | devonly, cl
citadel_zipline_arrow_scoll_speed | Changes the zipline arrow scroll speed | 1 | devonly, cl
citadel_zipline_debug_draw |  | false | devonly, cl
citadel_zipline_debug_draw_node_entity | if non-zero, only draw zipline curves extending from this node. | 0 | devonly, cl
citadel_zipline_debug_draw_segments |  | 20 | devonly, cl
citadel_zipline_percent_override_blue | Changes the percent distance of the blue lane | -1 | devonly, cl
citadel_zipline_percent_override_green | Changes the percent distance of the green lane | -1 | devonly, cl
citadel_zipline_percent_override_purple | Changes the percent distance of the purple lane | -1 | devonly, cl
citadel_zipline_percent_override_yellow | Changes the percent distance of the yellow lane | -1 | devonly, cl
citadel_zipline_render_mode | 0=Model, 1=Particle, 2=Model+Particle | 0 | devonly, cl
citadel_zipline_show_lane_colors_for_spectators |  | false | devonly, cl
citadel_zipline_width | Changes the zipline width | 0.7 | devonly, cl
citadel_zoomed_in_minimap | Test zoomed in minimap | false | devonly, cl
citdael_targeting_aoe_desat_color | The color of the desat area while targeting an AoE. | 150 207 184 255 | devonly, cl
citdael_targeting_aoe_outline_color | The color of the outline area while targeting an AoE. | 150 207 184 255 | devonly, cl
citdael_targeting_aoe_sat_color | The color of the sat area while targeting an AoE. | 255 255 255 255 | devonly, cl
citdael_targeting_range_desat_color | The color of the desat area while targeting with range or cone attack. | 100 100 114 255 | devonly, cl
citdael_targeting_range_outline_color | The color of the outline area while targeting with range or cone attack | 120 120 145 255 | devonly, cl
citdael_targeting_range_sat_color | The color of the sat area while targeting with range or cone attack | 255 255 255 255 | devonly, cl
cl_ShowBoneSetupEnts | Show which entities are having their bones setup each frame. | false | devonly, cl
cl_ag2_record_entity_graph | Automatically start AG2 recording when an entity with this name (wildcard) or id is created. |  | devonly, cl
cl_aggregate_particles |  | true | devonly
cl_anglespeedkey |  | 0.67 | devonly, cl
cl_animgraph_history_force_temporal_consistency |  | true | devonly, cl
cl_async_client_shatter | spawn client glass shards asynchronously during demos or when remotely connected. | true | devonly, cl
cl_async_restore_server_authoritative_state |  | false | devonly, cl
cl_async_usercmd_send |  | false | devonly
cl_async_usercmd_send_recvmargin_min | Min size of the recv margin queue when async usercmd send is disabled | 1 | devonly
cl_audio_debug_bullet_material | Visualize bullet material info. | false | cl, cheat
cl_audio_debug_pawn_surface_data | Visualize pawn surface data. | false | cl, cheat
cl_audio_display_soundstack_debug_base_3d | Displays citadel_base_3d sound stack debug. | false | cl, cheat
cl_audio_display_soundstack_debug_dialog | Displays citadel_dialog sound stack debug. | false | cl, cheat
cl_audio_draw_enclosure_debug | Draws debug associated with amount interior vs exterior | false | devonly, cl, rep
cl_audio_log_citadel_audio_filter | Logs sound event information for CCitadelAudioFilter. | false | devonly, cl
cl_audio_log_participant_start_messages | Prints when a participant sound message was sent. | false | cl, cheat
cl_auto_cursor_scale | Automatic cursor size scaling. | true | a
cl_batch_entity_list_ops_during_latch | Batch entity list adds / removes while latching interpolated variables to avoid mutex contention. | false | devonly, cl
cl_bone_cache_optimization |  | true | devonly, cl
cl_boxmove | run in a square, # represents how many usercommands to run before turning. | 0 | devonly, cl
cl_boxmove_speed | how fast to run (1 to use player max run speed). | 1 | devonly, cl
cl_buffer_incoming_net_messages |  | true | release
cl_bullet_travel_debug_path | Debug: visualization time for lazily calculated bullet paths (0 = disable) | 0 | cl, cheat
cl_bullet_travel_debug_trace | Debug: visualization time for active bullet traces (0 = disable) | 0 | cl, cheat
cl_cache_sendtable | Cache sendtables | true | devonly
cl_cameraoverride_fade_in_amount |  | 0 | devonly, cl
cl_cameraoverride_shadow_depth_bias |  | 0.006 | devonly, cl
cl_cameraoverride_shadow_end |  | 0.8 | devonly, cl
cl_change_callback_limit | change callback msec warning limit | 0.2 | cl, release
cl_chat_active |  | 0 | devonly, cl
cl_citadel_ability_alt_cast_hold_time |  | 0.15 | cl, a, user
cl_citadel_ability_alt_cast_instant_cast_double_tap_timeout |  | 0.2 | cl, a, user
cl_citadel_ability_alt_cast_mode |  | 2 | cl, a, user
cl_citadel_ability_test_fail_all |  | false | devonly, cl, cheat
cl_citadel_bebop_beam_draw_points |  | false | cl, cheat
cl_citadel_camera_ops_debug |  |  | devonly, cl
cl_citadel_camera_sequences_debug |  | false | devonly, cl
cl_citadel_cancel_with_ability_key_enabled |  | false | cl, a, user
cl_citadel_debug_player_look_target | Draw player look target data.  White is server, cyan is client. | false | devonly, cl, rep
cl_citadel_deployment_preview_debug_draw | Enable debug draw for deployment preview.  Draws a sphere at the location for 0.1 seconds | false | devonly, cl
cl_citadel_deployment_targeting_debug_draw | Enable debug draw for deployment targeting.  Debug draw is a one show that persists for n seconds | 0 | devonly, cl
cl_citadel_deployment_targeting_debug_log | Enable debug log for deployment targeting | false | devonly, cl
cl_citadel_hornet_blast_debug_physics |  | false | devonly, cl
cl_citadel_items_quickcast_mode |  | 0 | cl, a, user
cl_citadel_quickcast_ability1 |  | 0 | cl, a, user
cl_citadel_quickcast_ability2 |  | 0 | cl, a, user
cl_citadel_quickcast_ability3 |  | 0 | cl, a, user
cl_citadel_quickcast_ability4 |  | 0 | cl, a, user
cl_citadel_wrecker_ultimate_debug_physics |  | false | devonly, cl
cl_citadel_zoom_is_toggle |  | false | cl, a, user
cl_clock_buffer_ticks | Clock sync will try to maintain an additional margin of N ticks.  This is intended to smooth over packet loss, and is a replacement for cl_interp_ratio / cl_interp.  This value is simply added to cl_clock_recvmargin_desired | 1 | devonly
cl_clock_buffer_ticks_spectator | Additional margin (in ticks) to apply when spectating. | 2 | devonly
cl_clock_correction | Enable/disable clock correction on the client. | true | cheat
cl_clock_recvmargin_adjust_limit_slowdown | Clock sync will not slow down time slower than N% | 93 | devonly
cl_clock_recvmargin_adjust_limit_speedup | Clock sync will not speed up time faster than N% | 106 | devonly
cl_clock_recvmargin_desired | Clock sync will try to maintain N ms margin between tick arrival and polling network.  The effective value is the sum of this and the time implied by cl_clock_buffer_ticks | 5 | devonly
cl_clock_recvmargin_spew_interval |  | 0 | release
cl_clock_recvmargin_timeconstant_slowdown | Clock sync will remove 63.2% of the error in N seconds | 0.3 | devonly
cl_clock_recvmargin_timeconstant_speedup | Clock sync will remove 63.2% of the error in N seconds | 0.6 | devonly
cl_clock_recvmargin_window | Clock sync will use past N seconds | 4 | devonly
cl_clockdbg |  | false | devonly
cl_clockdrift_max_ticks | Maximum number of ticks the clock is allowed to drift before the client snaps its clock to the server's. | 3 | hidden, release
cl_connectionretrytime_p2p | Number of seconds over which to spread retry attempts for P2P. | 20 | release
cl_cq_min_queue | Used by the client to inform the server of their desired queue length.  Derived from cl_tickpacket_recvmargin_desired and cl_tickpacket_desired_queuelength | 0 | user
cl_cursor_scale | Cursor size scaling factor. | 1 | a
cl_debug_build_recvmargin_min | Min size of the recv margin queue when in tools/debug mode | 2 | devonly
cl_debug_force_push_to_talk |  | false | devonly, cl
cl_debug_overlay_fullposition |  | false | devonly, cl
cl_debug_overlays_broadcast | Render debug overlays from server. | false | release
cl_debugviewangle | Plots view angles yaw at various stages of the frame/tick in Tracy. | false | devonly, cl
cl_demo_steadycam_blendframes | blend over this many frames | 5 | devonly, cl
cl_demo_steadycam_deflection | if camera orientation changes this much update orientation | 5 | devonly, cl
cl_demo_steadycam_enable | Stabilize camera orientation/position during demo playback.  1 == remove roll, 2 == steadycam | 0 | devonly, cl
cl_demo_steadycam_radius | if camera moves this much from last anchor update anchor | 16 | devonly, cl
cl_demo_view_offset_left | View offset during demo playback (+/- 1.25 is a good default for human average left/right eye offset) | 0 | devonly, cl
cl_demoviewoverride | Override view during demo playback | 0 | devonly, cl
cl_disable_ragdolls |  | false | cl, cheat
cl_disconnect_soundevent | This soundevent is called to stop the desired soundevents when the game is disconnected. | citadel.convar.stop_all_game_layer_soundevents | devonly
cl_disconnect_voice_fade | This is a fade of current voices that is called when the game is disconnected. -1.f for no fade on disconnect | 2 | devonly
cl_display_game_events |  | false | cl, cheat
cl_dormant_spew | Spew state on when client entities become dormant or active. | false | devonly, cl
cl_draw_simulating_entities |  | false | cl, cheat
cl_draw_simulating_entities_distance |  | false | devonly, cl
cl_drawhud | Enable the rendering of the hud | true | cl, cheat
cl_enable_eye_occlusion |  | true | devonly, cl
cl_ent_attachment_filter_substrings | If an attachment's name has any of the given substrings in it, it will be displayed. Substrings can be delimited by the ',' or '\|' character. |  | cl, cheat
cl_ent_joint_axis_size |  | 4 | devonly, cl
cl_ent_joint_filter_substrings | If a joint's name has any of the given substrings in it, it will be displayed. Substrings can be delimited by the ',' or '\|' character. |  | cl, cheat
cl_ent_joint_lines | Draw a line between a rendered joint and its parent. | true | cl, cheat
cl_ent_joint_names | Draw the name of a rendered joint. | true | cl, cheat
cl_ent_joint_only_ik_joints |  | false | devonly, cl
cl_ent_joint_use_bind_pose |  | false | devonly, cl
cl_ent_pivot_size |  | 20 | cl, a, cheat
cl_ent_show_contexts | Show entity contexts in ent_text display | false | cl, cheat
cl_ent_showonlyattachment |  |  | cl, cheat
cl_ent_showonlyhitbox |  | -1 | cl, cheat
cl_ent_skeleton_only_ik_joints |  | false | devonly, cl
cl_ent_text_flags_active |  | -1 | cl, a, cheat
cl_ent_text_no_name_really_i_mean_it |  | false | cl, cheat
cl_error_report_time | Minimum time in seconds that must elapse before printing prediction error summary. 0 to disable. | 0 | cl, release
cl_extrapolate | Enable/disable extrapolation if interpolation history runs out. | true | cl, cheat
cl_extrapolate_amount | Set how many seconds the client will extrapolate entities for. | 0.25 | cl, cheat
cl_eye_occlusion_debug |  | false | cl, cheat
cl_eye_sin_wave |  | false | devonly, cl
cl_eye_target_override |  | 0 0 0 | devonly, cl
cl_eye_yaw_multiplier |  | 1 | devonly, cl
cl_fasttempentcollision |  | 5 | devonly, cl
cl_flushentitypacket | For debugging. Force the engine to flush an entity packet. | 0 | cheat
cl_force_next_signon_to_reset |  | false | devonly
cl_frametime_summary_report_detailed | When a perf report is dumped at the end of the session, should it be detailed? | true | cl, release
cl_generate_postdataupdatepreserved | Do we invoke PostDataUpdatePreserved callbacks for entities that had no changes but are still in the PVS? | true | devonly
cl_globallight_debug |  | false | devonly, cl
cl_globallight_depth_bias |  | -999 | devonly, cl
cl_globallight_expansion |  | 200 | devonly, cl
cl_globallight_freeze |  | false | devonly, cl
cl_globallight_orig_calc_frustum |  | true | devonly, cl
cl_globallight_shadow_mode |  | 2 | devonly, cl
cl_globallight_slope_scale_depth_bias |  | -999 | devonly, cl
cl_globallight_use_alt_focus_region |  | false | devonly, cl
cl_globallight_use_optimized_calc_frustum |  | true | devonly, cl
cl_globallight_use_shaadow_near_offset |  | true | devonly, cl
cl_globallight_world_bottom_height |  | 0 | devonly, cl
cl_globallight_world_top_height |  | 4096 | devonly, cl
cl_glow_brightness | Brightness of player halos | 1 | cl, cheat
cl_glow_item_far_b |  | 1 | cl, release
cl_glow_item_far_g |  | 0.4 | cl, release
cl_glow_item_far_r |  | 0.3 | cl, release
cl_graphics_driver_warning_ignore_timestamp |  | 0 | cl, a, release
cl_hitbox_debug |  | false | devonly, cl
cl_hold_game_events_force_delay_ticks | Debugging convar to force late dispatch of game events. | 0 | cl, cheat
cl_hold_game_events_until_server_tick | Holds game events until client has received the tick the event was fired on. | true | cl, cheat
cl_hud_telemetry_frametime_poor | Frame time greater than this is considered 'poor'. | 100 | cl, a, release
cl_hud_telemetry_frametime_show | Show frame time (FPS) in the HUD.  0=never, 1=only if poor, 2=always | 1 | cl, a, release
cl_hud_telemetry_net_detailed | Show breakdown network misdelivery (loss, late delivery, and peak jitter).  0=never, 1=only in poor network conditions, 2=always | 0 | cl, a, release
cl_hud_telemetry_net_misdelivery_poor | Packet delivery anomaly rate (0..100) higher than this is considered 'poor'. | 5 | cl, a, release
cl_hud_telemetry_net_misdelivery_show | Show percentage of user commands & server snapshots that are missed due to network conditions.  0=never, 1=only in poor conditions, 2=always | 1 | cl, a, release
cl_hud_telemetry_net_quality_graph_show | Show packet jitter and netframe loss/reordering in the HUD.  0=never, 1=only in poor conditions, 2=always | 0 | cl, a, release
cl_hud_telemetry_ping_poor | Ping higher than this (ms) is considered 'poor'. | 100 | cl, a, release
cl_hud_telemetry_ping_show | Show ping in the HUD.  0=never, 1=only in poor conditions, 2=always | 1 | cl, a, release
cl_hud_telemetry_serverrecvmargin_graph_show | Show graph of the server recv margin in the HUD.  (How early/late user commands are arriving at the server before they are executed.)   0=never, 1=only when there are command queue problems, 2=always | 0 | cl, a, release
cl_ignorepackets | Force client to ignore packets (for debugging). | false | cheat
cl_impacteffects |  | true | devonly, cl
cl_input_enable_raw_keyboard | Enable raw keyboard input | false | release
cl_interp_ag2_for_non_ag2_entities |  | true | devonly, cl
cl_interp_all | Disable interpolation list optimizations. | false | devonly, cl
cl_interp_animationvars | Interpolate LATCH_ANIMATION_BIT vars if interpolation interval is greater than simulation interval | true | devonly, cl
cl_interp_hermite | Set to zero do disable hermite interpolation. | true | cl, cheat
cl_interp_npcs | Interpolate NPC positions starting this many seconds in past (or the value as per cl_interp_ratio, if greater) | 0 | devonly, cl
cl_interp_parallel | Run interpolation in parallel for entities with no children. | false | devonly, cl
cl_interp_ratio | Sets the client simulation interpolation amount, in terms of server updates (final amount is cl_interp_ratio / cl_updaterate). | 0 | cl, user
cl_interp_simulationvars | Interpolate LATCH_SIMULATION_BIT vars if interpolation interval is greater than animation interval | true | devonly, cl
cl_interp_threadmodeticks | Additional interpolation ticks to use when interpolating with threaded engine mode set. | 0 | devonly, cl
cl_interpolate | Interpolate entities on the client. | true | devonly, cl, user
cl_interpolate_report | Enable to show interpolation profile timing<br> | false | cl, a
cl_jitter_bad_threshold_up | When upstream packet jitter in a frame exceeds this threshold (ms), the frame is considered to have 'irregular delivery'.  This is a derived value and should not be modified manually | 20 | user
cl_joystick_enabled | Enable joystick input | false | a
cl_lagcompensation | Perform server side lag compensation of weapon firing events. | true | cl, user
cl_language | Language | english | devonly
cl_latch_report | Enable to output stats about latching | false | cl, a
cl_leveloverview |  | 0 | cl, cheat
cl_lightquery_debug |  | false | cl, cheat
cl_lock_camera |  | false | cl, cheat
cl_log_tick | Log when a tick is received<br> | false | devonly
cl_log_tick_skips | Log when the tick delta &gt;= this | 0 | devonly
cl_massreport |  | false | devonly, cl
cl_max_particle_pvs_aabb_edge_length |  | 100 | release
cl_meep_mop_volume_trigger_max_count | Number of triggers before meemop reaches full volume | 10 | cl, cheat
cl_modifier_debug |  | false | devonly, cl
cl_modifier_parallel_gather_status_effect_updates |  | false | devonly, cl, rep
cl_net_showeventlisteners | Show listening addition/removals | false | devonly, cl
cl_net_showevents | Dump game events to console (1=client only, 2=all). | 0 | devonly, cl
cl_network_quality2 |  | -1 | cl, a
cl_panel_freeze_time_after_press | time to freeze mouse/pointer motion after a mouse button press | 0.5 | devonly, cl
cl_parallel_readpacketentities | Set to 1 to use threading snapshot reading (if game supports and server is sending bitcounts). | true | devonly
cl_parallel_readpacketentities_threshold | Use parallel processing of snapshot reading if above this many entries. | 2 | devonly
cl_particle_batch_mode |  | 1 | devonly
cl_particle_create_duplicate_work_for_profiling | Create and destroy N particle systems for every one created normally | 0 | devonly
cl_particle_fallback_base | Base for falling back to cheaper effects under load. | 0 | devonly
cl_particle_fallback_multiplier | Multiplier for falling back to cheaper effects under load. | 0 | devonly
cl_particle_log_creates | Print debug message every time a particle collection is created | false | devonly
cl_particle_max_count |  | 0 | devonly
cl_particle_newinit | turn on optimized particle init | true | devonly
cl_particle_retire_cost |  | 0 | cheat
cl_particle_sim_fallback_base_multiplier | How aggressive the switch to fallbacks will be depending on how far over the cl_particle_sim_fallback_threshold_ms the sim time is.  Higher numbers are more aggressive. | 5 | devonly
cl_particle_sim_fallback_threshold_ms | Amount of simulation time that can elapse before new systems start falling back to cheaper versions | 6 | devonly
cl_particle_simulate | Enables/Disables Particle Simulation | true | cheat
cl_pclass | Dump entity by prediction classname. |  | cl, cheat
cl_pdump | Dump info about this entity to screen. | -1 | cl, cheat
cl_phys_animated_hierarchy |  | true | devonly, cl
cl_phys_assume_fixed_tick_interval | If true, we assume the client uses a fixed tickrate like the server (which may not always be true). If false, we recalculate the number of physics substeps in each client tick based on the actual elapsed time in the tick. | true | devonly, cl
cl_phys_block_dist |  | 1 | devonly, cl
cl_phys_block_fraction |  | 0.1 | devonly, cl
cl_phys_debug_callback_entities | Print all entities that get touch callbacks. Each entity is printed only once. | false | cl, cheat
cl_phys_enabled | Enable all physics simulation | true | cl, cheat
cl_phys_networked_start_sleep |  | false | devonly, cl
cl_phys_sleep_enable | Enable sleeping for dynamic physics bodies. | true | cl, cheat
cl_phys_sound_disable_impact_sounds_under_hard_threshold | if true, impact sounds wont play if no soft impact sound is present and the impact is below the hard velocity threshold. | false | cl, cheat
cl_phys_stop_at_collision |  |  | cl, cheat
cl_phys_timescale | Scale time for physics | 1 | devonly, cl
cl_phys_visualize_awake |  | false | devonly, cl
cl_pitchdown |  | 89 | cl, cheat
cl_pitchspeed |  | 225 | devonly, cl
cl_pitchup |  | 89 | cl, cheat
cl_playback_screenshots | Allows the client to playback screenshot and jpeg commands in demos. | false | devonly
cl_poll_network_early | Enable polling for network messages every frame, instead of every tick | false | release
cl_pred_always_latch |  | false | cl, release
cl_pred_build_verbose | Verbose spew when building prediction optimized data runs. | false | devonly, cl
cl_pred_optimize | Optimize for not repredicting if there were no errors | true | devonly, cl
cl_pred_parallel_postnetwork |  | true | devonly, cl
cl_pred_print_every_cmd | Print something every time we predict a command | false | cl, release
cl_predict | Perform client side prediction. | true | cl, user, cheat
cl_prediction_savedata_postentitypacketreceived | Experimental optimization.  If you are reading this in 2026, please delete this convar. | false | cl, release
cl_predictioncopy_runs |  | true | devonly, cl
cl_ragdoll_default_scale |  | 1 | devonly, cl
cl_ragdoll_limit | Maximum number of ragdolls to show (-1 disables limit) | 20 | cl, a
cl_ragdoll_lru_debug |  | false | cl, rep, cheat
cl_ragdoll_reload |  | false | devonly, cl
cl_resend | Delay in seconds before the client will resend the 'connect' attempt | 0.5 | release
cl_retire_low_priority_lights | Low priority dlights are replaced by high priority ones | false | devonly, cl
cl_sceneentity_debug | Display all thinking scene entities and its data. | false | devonly, cl
cl_screenmessage_notifytime | How long to display screen message text | 8 | devonly, cl
cl_script_attach_debugger_at_startup |  | false | devonly, cl
cl_script_break_in_native_debugger_on_error |  | false | devonly, cl
cl_sendtable_cache_filename | Send tables cache file | sendtables.bin | devonly
cl_sequence_debug |  | -1 | devonly, cl
cl_sequence_debug2 |  | -1 | devonly, cl
cl_sequence_model_substring |  |  | devonly, cl
cl_show_splashes |  | true | devonly, cl
cl_showdemooverlay | How often to flash demo recording/playback overlay (0 - disable overlay, -1 - show always) | 0 | devonly
cl_showerror | Show prediction errors, 2 for above plus detailed field deltas, 3 to filter out serverside known prediction errors, -entindex for specific entity. | 0 | cl, release
cl_showfps | Draw fps meter at top of screen (1 = fps, 2 = smooth fps, 3 = server MS, 4 = Show FPS and Log to file ) | 0 | cl, release
cl_showframenumber | Show current framenumber | false | cl, release
cl_showlagcompensation | Draw hitboxes of entities we are shooting at to compare against lag compensated server entities | 0 | devonly, cl
cl_showmem | Draw approximate memory use at top of screen | 0 | cl, release
cl_showpos | Draw current position at top of screen | 0 | cl, cheat, release
cl_showtextmsg | Enable/disable text messages printing on the screen. | true | devonly, cl
cl_showtick | Show current tick/time values.  Bitmask:  1='render time'  2='GameTime'   4=time of predicted entities  8=offset of predicted entities    (-1 means 'everything') | 0 | cl, release
cl_showusercmd | Show user command encoding | false | devonly, cl
cl_simulate_dormant_entities |  | true | devonly, cl
cl_skel_constraints_enable |  | true | rep, cheat
cl_skeleton_instance_smear_boneflags | Smear boneflags across the model.  Costs computation, but tests to make sure your bone flags are consistent. | false | cl, cheat
cl_skip_update_animations | Enable to skip game animations | false | devonly, cl
cl_smooth | Smooth view/eye origin after prediction errors | true | devonly, cl
cl_smooth_draw_debug |  | false | cl, cheat
cl_smooth_root_catchup_factor |  | 0.21 | cl, cheat
cl_smooth_root_max_accel |  | 1000 | cl, cheat
cl_smooth_root_origin_coeff |  | 100 | cl, cheat
cl_smooth_root_timehorizon |  | 0.125 | cl, cheat
cl_smooth_root_velocity_coeff |  | 20 | cl, cheat
cl_smooth_targetspeed |  | 150 | cl, release
cl_smoothtime | Smooth client's view after prediction error over this many seconds | 0.2 | devonly, cl
cl_snd_cast_clear |  | true | devonly
cl_snd_cast_retrigger |  | true | devonly
cl_snd_new_visualize | Displays soundevent name played at it's 3d position | false | cl, cheat
cl_spawngroup_log | Dump the contents of the next spawngroup manifest to file. | false | devonly
cl_spawngroup_spewresources | Spew all manifest add/updates. | false | devonly
cl_tickpacket_desired_queuelength | This value, multiplied by the tick interval, is added to cl_tickpacket_recvmargin_desired to obtain the effective desired recv margin. | 0 | user
cl_tickpacket_recvmargin_adjust_limit | Recvmargin-based usercommand pacing will not speed up or slow down command pacing by more than N% compared to realtime | 5 | devonly
cl_tickpacket_recvmargin_desired | Recvmargin-based usercommand pacing will try to maintain N ms margin between user command arriving at the server and the server needing that user command.  See also cl_tickpacket_desired_queuelength. | 5 | devonly
cl_tickpacket_recvmargin_minsamples | Recvmargin-based usercommand pacing will not take action unless we have N samples | 10 | devonly
cl_tickpacket_recvmargin_spew_interval |  | 0 | release
cl_tickpacket_recvmargin_timeconstant | Recvmargin-based usercommand pacing will remove 63.2% of the error in N seconds | 0.4 | devonly
cl_tickpacket_recvmargin_window | Recvmargin-based usercommand pacing will use past N seconds | 4 | devonly
cl_ticks_net_print_threshold | Print a message if network issues cause problems with server snapshots of user commands not being available when needed, if the percentage (0...100) exceeds this value.  A value of 0 will cause the message to always print each time it is calculated | 2 | release
cl_ticks_warning_level | Print a message about problems with ticks and interpolation.  0=never, 1=warnings, 2=all, even if hidden by interpolation | 0 | release
cl_timeout | After this many seconds without receiving a packet from the server, the client will disconnect itself | 30 | a
cl_tracer_whiz_distance |  | 72 | devonly, cl
cl_tracer_whiz_infront_distance |  | 32 | devonly, cl
cl_trueview_show_status | 0=Never; 1=Only if there is a problem; 2=always | 2 | cl, release
cl_updaterate | Number of packets per second of updates you are requesting from the server | 20 | cl, a, user
cl_usercmd_dbg | show usercmd payload sizing info for packets with more than this many usercmds | 0 | devonly
cl_usercmd_max_per_movemsg | max number of CUserCmds to send in one client move message | 4 | release
cl_usercmd_showsize |  | false | devonly
cl_usesocketsforloopback | When connecting to local listen server (for example, using the 'map' command), default to loopback=false, which connects to '127.0.0.1' instead of 'loopback'.  This uses the network stack so that fake lag/loss can be simulated. | true | devonly
cl_viewtarget_clamp |  | true | devonly, cl
cl_voice_transmit_lobby |  | false | cl, a, release
cl_voiceenabled |  | true | devonly, cl
cl_vsnd_morph_override_ease_enabled | Controls whether the compiled in vsnd morph data ease in/out values are used or values set from the convars (cl_vsnd_morph_override_ease_in, cl_vsnd_morph_override_ease_out) are used | true | devonly, cl
cl_vsnd_morph_override_ease_in | If cl_enable_vsnd_morph_override_ease_enabled is true, ease into vsnd morph driven animation over the specified number of seconds. | 0.2 | devonly, cl
cl_vsnd_morph_override_ease_out | If cl_enable_vsnd_morph_override_ease_enabled is true, ease out of vsnd morph driven animation over the specified number of seconds. | 0.2 | devonly, cl
cl_yawspeed |  | 210 | devonly, cl
client_metrics_upload_batch_seconds |  | 300 | devonly, cl
clientport | If non-zero, client binds port to specific address.  Usually you should leave this blank to use a different random system-assigned port for each connection. | 0 | release
closecaption | Enable close captioning. | false | cl, a, user
cloth_debug_draw |  | 0 | devonly, cl
cloth_filter_transform_stateless | Enable the new, stateless version of FilterTransform | false | devonly
cloth_ground_plane_thickness | Raise ground by this much for all cloth that traces the ground; should be 0 ideally | 3 | devonly
cloth_iv_dump |  | 4 | devonly, cl
cloth_iv_store_back |  | false | devonly, cl, rep
cloth_sim_on_tick |  | true | devonly, cl
cloth_update |  | true | devonly, cl
commentary_node_use_viewfacing |  | false | devonly, cl
compositematerial_showdebugwindow | Source2/Composite Material Debug | false | devonly, cl, a, rep, cheat
con_enable | Allows the console to be activated. | false | a, per_user
con_logfile_suffix | Suffix to append to the console log, may be changed to reopen the log |  | devonly
convars_echo_toggle_changes | Echo to the console changes caused by toggling. | true | devonly
cpu_level | CPU Level - Default: High | 2 | devonly, cl
cq_buffer_bloat_msecs_max | Server will not allow the client to buffer up more than N ms of commands. | 120 | rep, release
crosshair_spread_scale |  | 3.6 | devonly, cl
csm_bias_override_0 |  | 1 | cheat
csm_bias_override_1 |  | 1 | cheat
csm_bias_override_2 |  | 1 | cheat
csm_bias_override_3 |  | 1 | cheat
csm_cascade0_override_dist |  | -1 | cheat
csm_cascade1_override_dist |  | -1 | cheat
csm_cascade2_override_dist |  | -1 | cheat
csm_cascade3_override_dist |  | -1 | cheat
csm_cascade_viewdir_shadow_bias_scale |  | 2 | cheat
csm_max_dist_between_caster_and_receiver | default pushback | 15000 | cheat
csm_max_num_cascades_override | Number of cascades in sunlight shadow | -1 | devonly
csm_max_shadow_dist_override |  | -1 | devonly
csm_max_visible_dist |  | 7500 | cheat
csm_res_override_0 |  | 0 | cheat
csm_res_override_1 |  | 0 | cheat
csm_res_override_2 |  | 0 | cheat
csm_res_override_3 |  | 0 | cheat
csm_shadow_worldview_align_x_to_u |  | false | cheat
csm_shadow_worldview_shear_align_z_to_v |  | false | cheat
csm_split_log_scalar |  | 0.85 | cheat
