Name | Description | Default Value | Flags
cc_vr_epsilon | Epsilon to trigger movement of VR subtitle panel in world space | 2.5 | devonly, cl
cc_vr_font_size | 0 = small, 1 = med (default), 2 = large | 1 | cl, a
cc_vr_forward_offset | Subtitle offset distance (forward, in front of player) | 30 | devonly, cl
cc_vr_vertical_offset | Subtitle vertical offset distance (positive is up) | -6.5 | devonly, cl
cc_vr_width | 0 = narrow, 1 = med (default), 2 = wide | 1 | cl, a
chat_max_messages |  | 50 | devonly, cl
chat_ping_repeat_seconds |  | 5 | devonly, cl
chat_sequence_max_messages |  | 10 | devonly, cl
chat_sequence_within_seconds |  | 10 | devonly, cl
chat_top_bar_max_messages | The maximum amount of chat panels we allow total | 6 | devonly, cl
chat_top_bar_max_messages_per_player | The maximum amount of chat panels we allow per player | 3 | devonly, cl
citadel_ability_preview_path_debug_draw_dt | DT for debug drawing ability preview path. | 0.075 | cl, a
citadel_action_refresh_interval |  | 0.1 | devonly, cl
citadel_activate_window_for_pregame | If set, brings Citadel to the foreground when unpaused | false | cl, release
citadel_activate_window_on_unpause | If set, brings Citadel to the foreground when unpaused | false | cl, a, release
citadel_ag2_debug_draw_facing |  | false | devonly, cl
citadel_ag2_debug_draw_look_target |  | false | devonly, cl
citadel_allow_ally_pings |  | true | cl, a, release
citadel_allow_ally_text |  | true | cl, a, release
citadel_allow_ally_voice |  | true | cl, a, release
citadel_allow_client_higher_version_for_reconnect | When set to true, the client is allowed to connect so long as the client compat version is higher than the server's | true | cl, release
citadel_allow_new_player_flow_finished_override | citadel_new_player_flow_finished can't be turned off (because of the callback) unless you reset the other new player convars. This allows you to turn it off. | false | devonly, cl, a
citadel_allow_opponent_text |  | true | cl, a, release
citadel_allow_party_pings |  | true | cl, a, release
citadel_allow_party_text |  | true | cl, a, release
citadel_allow_party_voice |  | true | cl, a, release
citadel_allow_spectated_pings |  | true | cl, a, release
citadel_allow_spectated_text |  | true | cl, a, release
citadel_always_show_active_hud_stats |  | false | cl, a
citadel_announcement_banned_heroes_display_time |  | 10 | devonly, cl
citadel_announcement_display_time |  | 4 | devonly, cl
citadel_announcement_game_over_msg_display_time |  | 11 | devonly, cl
citadel_arrow_brightness | Changes the zipline arrow brightness | 0.6 | devonly, cl
citadel_auto_highlight_seconds_after | How many seconds after the highlight event to show when viewing highlights. | 8 | cl, release
citadel_auto_highlight_seconds_before | How many seconds before the highlight event to show when viewing highlights. | 20 | cl, release
citadel_auto_ping_window | If the chat wheel is opened and closed within this time, trigger a ping when it's closed. | 0.35 | devonly, cl
citadel_auto_queue_build | Automatically queue the selected build at game start | false | cl, a, user
citadel_book_page_auto_play_delay_s | When a page has no audio queue, this delay will be used before auto play advancing unless it specifies an override value | 2 | devonly, cl
citadel_book_page_sound_auto_play_delay_s | When a page has an audio queue, this delay will be used before auto play advancing unless it specifies an override value | 0.2 | devonly, cl
citadel_boss_glow_disabled |  | false | cl, release
citadel_bot_attack_enemies |  |  | 
citadel_bot_match_on_dedicated_server |  | true | devonly, cl
citadel_brawl_hero_roster | A comma separated list of hero IDs that hold the currently selected brawl roster heroes |  | cl, a, release
citadel_brawl_hero_roster_banned | A comma separated list of hero IDs that hold the currently banned brawl roster heroes |  | cl, a, release
citadel_brawl_hero_roster_high_priority | A comma separated list of hero IDs that hold the currently high priority brawl roster heroes |  | cl, a, release
citadel_brawl_hero_roster_preferred | A comma separated list of hero IDs that hold the currently preferred brawl roster heroes |  | cl, a, release
citadel_brawl_hero_roster_random | Is the brawl hero roster set to random | false | cl, a, release
citadel_bullet_shot_offset_fade_time |  | 0.5 | devonly, cl
citadel_bullet_whiz_closest_point_on_line |  | -1 | devonly, cl
citadel_bullet_whiz_draw_endpoints |  | false | devonly, cl
citadel_bullet_whiz_draw_listener_trace |  | false | devonly, cl
citadel_bullet_whiz_fake_end_point_distance |  | 200 | devonly, cl
citadel_bullet_whiz_side_dot_tolerance |  | 0.98 | devonly, cl
citadel_bypass_reconnect_version_check | Ignore the compat version check when reconnecting to a server. This generally shouldn't be done as there could be legitimate differences. | false | devonly, cl
citadel_camera_adjust_aim_fov | 0: Use Absolute GunZoom FOV. 1: Relative FOV - Add the difference between old default fov and absolute gun aim.  | 1 | devonly, cl, cheat
citadel_camera_aiming_fov | What aiming FOV is | 65 | devonly, cl
citadel_camera_allow_controller_when_controlling_other |  | true | cl, cheat
citadel_camera_debug | 0: Off. 1: Show Stand-up trace. 2: Show stand up to ideal ParrotPos. 3: Show Parrot Pos to Desired Pos (cyan) | 0 | devonly, cl
citadel_camera_draw_clip_sphere |  | false | cl, cheat
citadel_camera_draw_vmdl_debug | Draw curves | false | devonly, cl
citadel_camera_fade_ally_tier2_far_dist | At this distance ally tier2's opacity will be at 1 | 400 | devonly, cl
citadel_camera_fade_entity_speed | How rapidly we fade the character to transparent when using first person mode. | 50 | devonly, cl
citadel_camera_fade_other_far_dist | At this distance non-viewed character's opacity will be at 1 | 100 | devonly, cl
citadel_camera_fade_other_near_dist | At this distance non-viewed character's opacity will be at citadel_camera_fade_other_near_opacity | 20 | devonly, cl
citadel_camera_fade_other_near_opacity | The opacity of non-viewed character when they are at citadel_camera_fade_near_dist | 0.4 | devonly, cl
citadel_camera_fade_viewed_far_dist | At this distance viewed character's opacity will be at 1 | 50 | devonly, cl
citadel_camera_fade_viewed_near_dist | At this distance viewed character's opacity will be at citadel_camera_fade_near_opacity | 20 | devonly, cl
citadel_camera_fade_viewed_near_opacity | The opacity of viewed character when they are at citadel_camera_fade_near_dist | 0.4 | devonly, cl
citadel_camera_force_tunnel_alpha |  | -1 | devonly, cl, cheat
citadel_camera_height | The look at point of the camera is vertically offset by this distance. | 63 | cl, cheat
citadel_camera_height_approach_speed |  | 800 | cl, cheat
citadel_camera_height_ceiling_distance |  | 20 | devonly, cl
citadel_camera_height_npc | The look at point of the camera is vertically offset by this distance when viewing NPC units. | 33 | cl, cheat
citadel_camera_hero_fov | The field of view angle of the camera when following a hero. | 90 | cl, a
citadel_camera_listening_offset |  | 0 | devonly, cl
citadel_camera_max_transition_distance | Max distance that the camera will transition to the next target. | 1500 | devonly, cl
citadel_camera_offset | The look at point of the camera is horizontally offset by this distance. | -25 | cl, cheat
citadel_camera_parrot_pov | Force the camera to be in parrot POV. Useful for tuning the closest position. | false | devonly, cl
citadel_camera_parrot_pov_radius | Radius of the parrot sausage cast | 8.25 | devonly, cl
citadel_camera_parrot_pov_x_offset | X Axis offset from our camera pivot. +Forward and -Back. | -10 | devonly, cl
citadel_camera_parrot_pov_y_offset | Y Axis offset from our camera pivot. +Left and -Right. | -10 | devonly, cl
citadel_camera_parrot_pov_z_offset | Z Axis offset from our camera pivot. +Up and -Down | 10 | devonly, cl
citadel_camera_parrot_smoothing_rate | When the camera stops being clipped, smooth the motion back to the desired resting position. | 60 | devonly, cl
citadel_camera_pitch_default | The default camera pitch. | 20 | devonly, cl
citadel_camera_pitch_inverted | Set to 1 to have inverted mouse pitch | false | cl, a
citadel_camera_pitch_max | The maximum pitch angle allowed on the camera. | 89 | devonly, cl
citadel_camera_pitch_min | The minimum pitch angle allowed on the camera. | -89 | devonly, cl
citadel_camera_sensitivity | Mouse sensitivity for the camera | 1 | cl, a
citadel_camera_sensitivity_modifier_debug | 0: Off 1: Log Sensitivity modifiers from various sources. | 0 | devonly, cl
citadel_camera_snapshot | Draw a debug display of the camera, then unset. | false | devonly, cl
citadel_camera_soft_collision | Experimental: Soften the camera to wall collision distance by using the gaussian weight of fibbonnaci cone of line traces. 2: Use soft collision system to inform hole punch. | 2 | devonly, cl, rep
citadel_camera_soft_collision_angle | Experimental: Soft camera collision cone arc angle in degrees. Larger cone angle results in earlier softening. | 75 | devonly, cl
